srcip,srcport,dstip,dstport,proto,total_fpackets,total_fvolume,total_bpackets,total_bvolume,min_fpktl,mean_fpktl,max_fpktl,std_fpktl,min_bpktl,mean_bpktl,max_bpktl,std_bpktl,min_fiat,mean_fiat,max_fiat,std_fiat,min_biat,mean_biat,max_biat,std_biat,duration,min_active,mean_active,max_active,std_active,min_idle,mean_idle,max_idle,std_idle,sflow_fpackets,sflow_fbytes,sflow_bpackets,sflow_bbytes,fpsh_cnt,bpsh_cnt,furg_cnt,burg_cnt,total_fhlen,total_bhlen,class,label
10.0.0.1,55628,10.0.0.2,80,6,6,426,6,2771,52,71,158,42,52,461,1500,642,10,1387,2624,970,39,1385,3035,1457,6950,6950,6950,6950,0,0,0,0,0,6,426,6,2771,1,2,0,0,320,320,0,1
10.0.0.1,55629,10.0.0.2,80,6,6,426,6,2771,52,71,158,42,52,461,1500,642,8,1305,2259,888,32,1304,3197,1359,6541,6541,6541,6541,0,0,0,0,0,6,426,6,2771,1,2,0,0,320,320,0,1
10.0.0.1,55630,10.0.0.2,80,6,12,738,11,3031,52,61,158,30,52,275,2348,687,24,11038,74552,23848,24,12141,112486,35309,121436,121436,121436,121436,0,0,0,0,0,12,738,11,3031,1,7,0,0,632,580,0,1
10.0.0.1,55631,10.0.0.2,80,6,6,426,6,2771,52,71,158,42,52,461,1500,642,10,1871,3882,1588,32,1865,4861,2127,9369,9369,9369,9369,0,0,0,0,0,6,426,6,2771,1,2,0,0,320,320,0,1
10.0.0.1,55632,10.0.0.2,80,6,6,426,6,2771,52,71,158,42,52,461,1500,642,7,1652,3499,1266,38,1651,3664,1673,8278,8278,8278,8278,0,0,0,0,0,6,426,6,2771,1,2,0,0,320,320,0,1
10.0.0.1,55633,10.0.0.2,80,6,7,478,6,2771,52,68,158,39,52,461,1500,642,8,31194,145354,57777,98,37433,182887,81320,187184,187184,187184,187184,0,0,0,0,0,7,478,6,2771,1,2,0,0,372,320,0,1
10.0.0.1,55634,10.0.0.2,80,6,11,686,11,3031,52,62,158,31,52,275,2348,687,11,1268,8135,2525,11,1264,8118,2602,12701,12701,12701,12701,0,0,0,0,0,11,686,11,3031,1,7,0,0,580,580,0,1
10.0.0.1,55635,10.0.0.2,80,6,6,426,6,2771,52,71,158,42,52,461,1500,642,8,2117,5518,2077,36,2117,5697,2349,10607,10607,10607,10607,0,0,0,0,0,6,426,6,2771,1,2,0,0,320,320,0,1
10.0.0.1,55636,10.0.0.2,80,6,7,478,7,2823,52,68,158,39,52,403,1500,606,22,1504,3880,1510,116,1503,3824,1578,9039,9039,9039,9039,0,0,0,0,0,7,478,7,2823,1,2,0,0,372,372,0,1
10.0.0.1,55637,10.0.0.2,80,6,6,426,6,2771,52,71,158,42,52,461,1500,642,8,1897,4480,1645,89,1897,4651,2101,9505,9505,9505,9505,0,0,0,0,0,6,426,6,2771,1,2,0,0,320,320,0,1
